"일자	",순위,토픽1,토픽2,토픽3,토픽4,토픽5,토픽6,토픽 키워드
2012.10.30,9,북한,김정,공개,석상,등장,,"나선,행보,나들이,추정,공식석상_등장,리설주_공석,다시,까닭,속도조절,혼자,실종_리설주,풍기,임신,리설,석상,갑자기,속도,북한_김정,롱코트,종적,풍기문란죄,김정,추정_사진,등장,다시_등장,공개_나들,제기,단독,공석,부인_리설주,조절,리설주,혼자_롱코트,사진,문란,실종,파격_행보,파격,나들,북한,공식,코트,임신설,공개_행보,나선_까닭,리설주_임신,공개,공식석상,살짝,부인,문란죄,실내"
2012.10.30,10,대통령,일가,치졸,특검,수사,방해공작,"공작,수사,대통령,특검,대통령_일가,일가,특검_수사,방해,특검_수사_방해공작,방해공작,치졸"
2012.10.31,1,어닝,분기,영업,이익,전년대비,성장,"코리안리,전년동기,전년대비,건설,영업익,흑자전환,신한금융,순익_전년,분기,보험,상승,니시스,손보사_상반기_순익_전년,전년,신한지주,성장,상반기_원수보험료,손해율_상승,삼성화재,이익,원수,인허가,전환,손해,손보사_상반기,동부화재,가구,손보사,동기,보험료,상반기,울산,제이엔케이히터,어닝,주택건설_인허가,주택건설_인허,현대해상,주택,비상교육,전년비,대비,순익,송원산업,허가,감소,손보,넥센타이어,손해율,영업,상반기_순익,한국공항,흑자"
2012.10.31,2,허리케인,샌디,동부,피해,,,"美_경제_강타,정전_피해,허리케인,미_동부_강타,정전,초토,초대형,피해_규모,초대형_허리케인,규모,초토화,샌디,가구,경제,본토,미_본토_강타,강타,하락,피해,동부"
2012.10.31,3,경제,운명,가,미국,선택,,"경제_운명_가,미국,운명,경제,선택,경제_운명"
2012.10.31,4,후보,사퇴시,보조금,투표시간,연장,,"선거,투표시간_연장,사퇴시,후보,수용,법안,보조금,사퇴시_선거보조금,투표시간_연장_압박,지급_법안,지급"
2012.10.31,5,새누리,막말,논란,민주,사퇴,,"대화록_열람,막말,논란,김광진_사퇴_압박,대화록,압박,천영우,키로,열람,김광진_사퇴,자숙,사퇴,천영우_고발키로,고발,새누리,박지원,김광진,민주,경고"
2012.10.31,6,한국,경제,정책,성장,엔진,,"건설협,전문건설협_수장,수장들,수장,정책수장,캠프,지방,경제_수장들,경제민주화,경제,민주화,엔진,지방_시도회장,정책,시도회장,성장,전문,민주,한국"
2012.10.31,7,생생,코스피,에너지,지분,규모,결정,"분식,회장,코스피,사기성_기업어음,증가,기업어음_발행,분식회계,매각,사모,위기,규모,규모_사모,혐의_구본상,구본상_부회장_구속,부수,구본상,결정,에스이티아이,코스닥,에너지,지분,부회장,사기,혐의,넥스원,신문,오릭스,부회장_구속,구속,사기성,발행_혐의,사기_어음_발행_혐의,생생,발행,어음,구본상_부회장,사기_어음,기업,발행부수,회계"
2012.10.31,8,포스코,인재,경영,글로벌,기업,도약,"글로벌_기업_도약,포스코,도약,경영,글로벌_기업,글로벌,기업,인재"
2012.10.31,9,열애설,신수지,허경환,오빠,동생,사이,"장애_동생,화마,열애설,불길,신수지,열애설_신수지,뇌성,동생,오빠_동생_사이,가스,남매_중태,누나,뇌성마비_동생,사이,장애,중태,허경환,마비,남매,남동생,오빠_동생,유독,장애동생,오빠"
2012.10.31,10,대선,복지,공약,재정,논란,,"논란,부자감세_철회,복지,재정,부자,철회,대선,보편복지,재정_논란,보편,공약,실현,감세"
2012.11.1,1,미국,조기,투표,한국,시간,연장,"조기_종결,착수,검진,노선,마늘,치료,노선_조기,채권,고추,전철,영등포구,조기,조기검진,자연,바라산_자연휴양림_조성,필수,조기_치료_필수,기관,한국,연장,포구,국가,간염,바라산_자연휴양림,바라산,조기_치료,조기_방출,조성,채권금융기관_관리절차_조기_종결,예방,정부,영등,휴양림,에스에이엠티,금융,미국,절차,관리,시간,투표,방출,종결,채권금융기관_관리절차"
2012.11.1,2,웰크론한텍,분기,영업,이익,전년비,,"이익,분기,전년비,영업,증가,웰크론한텍,영업익,전년"
2012.11.1,3,내곡동,특검,대통령,큰형,이상은,다스,"큰형,서울,질문,압수,압수수색,다스_서울사무소,답변,이대통령_사저부지,수사,내곡동,부지,이상은씨,다스_서울사무소_압수수색,의혹,이대통령_사저부지_의혹_수사,대통령,출처_추궁,의혹_수사,은씨,이상은,추궁,다스,특검,이대통령_큰형_이상은씨,수색,사무소,사저,이대통령_큰형,출처"
2012.11.1,4,창간,주년,특집,누가,,,"주년,창간,누가,특집"
2012.11.1,5,허리케인,샌디,미,대선,판도,영향,"양적,증시,허리케인_샌디,허리케인,판도,지도,쥐떼,대선,미_대선_판도,영향,규모,대선_판도,샌디,뉴욕_쥐떼,몰살,뉴욕,완화"
2012.11.1,6,정치위,민주,지도부,사퇴,요구,,"지도부,사퇴,지도부_총사퇴,치위,총사퇴,정치위,민주,요구,당내"
2012.11.1,7,문재인,이정현,제안,전격수용,새누리당,당혹,"사람,데이트,전격,과거,제안,이정현,과거애인,새누리당,맞선,애인,문재인,새누리당_당혹,수용,맞선남,전격수용,연인,당혹"
2012.11.1,8,금융,그룹,분기,당기,순이익,시현,"금융,분기,시현,당기,순이익,그룹"
2012.11.1,9,프로포폴,투약,에이미,징역,집행유예,선고,"집행,프로포폴,집행유예,징역,투약,유예,선고,실형,프로포폴_투약,에이미,프로포폴_투약_에이미"
2012.11.1,10,와이지엔터테인먼트,분기,사상,최대,실적,예상,"엔터테인먼트,와이지엔터테인먼트,분기,와이지,최대_실적,예상,최대,실적,사상"
2012.11.2,1,안철수,대선,후보,대통령,제주,,"서울시교육감,대학,여성고용정책,장애인,새누리_여성정책,배틀,장애,안철수_교육정책,호남지지_하락,지방,사회,공약발표,수세,대화,단일,마련,참석,교육,거점,거점대학_육성,과학정책,제안,정책_조정,제안서,햇볕,주거복지_정책,정책배틀_토크쇼,이틀,백경태,정책,토크,통합,능력,우수,수능,경남,경남장애인_인권포럼정책우수_지방의원_선정,자신_먼저,반값,단일화,주거,대입,사회통합,교육감,안철수,박근혜_후보,경남장애인_인권포럼정책우수,하락,주거복지_정책_발표,조형철,문재인쪽,청사진,대통령,논쟁,노동,과학,교육개혁_정책,약화,가장,대선주자,대선_후보,박근혜,대선,폐지,女性,주도,새누리,지지,인권,햇볕정책,정책포럼,공약,지방의원_선정,등록금,백경태_도의원,과학계_주목,변화,협의,반값_등록금,희생,정책대화,한반,도의원_장애,지역,제도,교육정책,박근혜_대선,후보,호남,주목,선정,하나,정책_우수,의원,막말,여성들,한반도,뒷전,개혁,정규,제주,경쟁,박근혜_대선_후보,여성,서울시,정책제안,단일화_수세,과학계,고용,대선_정국,대입제도_마련,공식제안,여성정책,정책포럼_참석,얼룩,삶_속_대선정책,자신,정책주도_약화,능력_가장,제시,위기,막말_얼룩,유창희,노동_분야,정쟁수단,광주,먼저,정국,경남장애인_인권포럼,자신_먼저_희생,분야,정책제안서,공식,복지,도의원,중요,조정,전남,포럼,협상,문재인,육성,경제,표심,대선정책"
2012.11.2,2,휴맥스,분기,영업,이익,증가,,"수출입_동반,전년_대비,소비량,송출,불황,증가,파라다이스,경유_소비량,경유,회복,휴맥스,민간,투어,동반,분기,불황형_흑자,대비,모두투어,탈출,전년,실적,소비,이익,경유_소비량_증가,제한,경기회복,수출입_동반_증가,무역,신호,수출입,수출,고용,영업,동기,흑자,경기"
2012.11.2,3,미국,조기,투표,한국,시간,연장,"연장,미국,시간,투표,조기,한국"
2012.11.2,4,대통령,내곡동,사저,부지,,,"건조,내곡동_사저매입_수사,아산,건조벼,등장,아산시,이름,수사,아산시_공공비축미_건조벼_매입,부지,내곡동,의혹,증폭,공공비축미_건조벼,대통령,실매입자,대통령_이름,서류상,내곡동_사저,공공비축,공공비,건조벼_매입,비축미,특검,내곡동_사저매입,개입,매입,공공,아산시_공공비축미,사저,확인"
2012.11.2,5,미국,경제,회복,지표,줄줄이,나와,"미국,나와,줄줄이,경제,미국_경제,줄줄이_나와,회복,회복_지표,지표"
2012.11.2,6,미국,대선,막판,변수,실업률,오바마,"미국,실업률,막판,미국_대선,변수,대선,막판_변수,오바마"
2012.11.2,7,프로포폴,투약,방송인,선고,,,"방송인_집유,성폭행_징역,성범죄,방송인,프로포폴_투약,자신,춘천지법,프로포폴,투약,징역,춘천지,집유_선고,선고,성폭행,집유,상해"
2012.11.2,8,경찰,영문,이름,수배자,,,"경찰,수배자,귀국,영문,수배,수배자_영문,수배자_영문_이름_잘못,이름"
2012.11.2,9,서울,대형,아파트,가격,하락폭,소형,"가격_하락폭,대형_아파트,서울,하락폭,대형_아파트_가격_하락폭,소형,가격,하락,대형,아파트"
2012.11.2,10,특검,김인종,청와대,경호처장,조사,,"경호,처장,청와대_경호처장_특검_출석,청와대,특검,조사,특검_출석,경호처장,김인종,청와대_경호처장,출석"
2012.11.3,1,특검,내곡동,사저매입,수사,의혹,증폭,"경호처,내곡동_사저매입_수사,계약,철거,경호처장,수사,대통령_명의,내곡동,다시,조사,의혹,증폭,김인종,대통령,내곡동_사저,건물,내곡동_특검,내곡동_건물,강도,특검,내곡동_사저매입,시간,매입,사저,명의,내곡동_건물_철거_때"
2012.11.3,2,대선,후보,민생,정책,행보,,"민생,행보,협의,정책_구상,주말_정책_구상,집중,정책뉴스부,주말_정책,대선후보_정책대결_치열,학교,역정_보고,구상,후보,주거,단일화,고발,공약발표,안철수,역정,단일,뉴스부,대선후보_정책대결,문재인쪽,법륜,승기,대결,대선_후보,박승기,주거정책,대선,협상,문재인,치열,공약,보고,정책,주말,인품,비슷비슷"
2012.11.3,3,김백준,특검,소환,부동산,중개수수료,,"시인,청와대,중개수수료,총무,기획관,인정,특검,청와대_총무기획관,수수료,대납,중개,소환,김백준_특검,청와대_총무기획관_소환,부동산,김백준,대납_시인,김백준_특검_소환"
2012.11.3,4,투표,시간,연장,통합명부제,제도,,"연장,제도,통합명부제,통합명부제_도입_목소리,시간,투표,목소리,통합명부"
2012.11.3,5,현대,기아차,시장,판매,연속,돌파,"현대,돌파,연속,이틀_연속_하락,바이유_가격,현상,품귀현상,세종시,가격,이틀_연속,품귀,시장,전셋값,판매,이틀,상승,두바이유,연속_상승,기아차,하락"
2012.11.3,6,문재인,이해찬,지도부,사퇴,담판,,"지도부,사퇴,지도부_사퇴,경쟁,문재인,이해찬,담판,표심,중대,민주"
2012.11.3,7,유엔,김정,체제,북한,인권,개선안,"김정,북한,인권_개선,북한인권,제기,북한_인권_개선안,위안부,유엔,인권개선,개선,북한_인권,체제,인권,유엔_인권이사회,이사회,위안부_문제_해결,해결,근거,주장,북한인권_문제_제기"
2012.11.3,8,민주,아크부대,파병,연장,반대,논란,"연장,논란,아크부대_파병,반대,아크부대,파병,연장_반대,민주"
2012.11.3,9,인천,물류창고,화재,진압,소방관,순직,"나선,화재,소방관_순직,나선_소방관,물류,화재_진압,인천_물류창고,진압,화재진압_나선,화재진압,화재진압_나선_소방관,창고,인천,소방,소방관,순직"
2012.11.3,10,대통령,美,허리케인,피해,애도,,"美_샌디_피해,대통령,美_허리케인_피해,샌디,애도,허리케인,피해"
2012.11.4,1,야권,단일,후보,지지,조사,,"외교예측_가능,상관,지지_백인,롬니,오바마_재선,가능,예측,엉망,경제_엉망,오바마,중립,지지율,재선,야권,후보,경제,조사,지지,당선,클린턴,단일,장사진,백인,외교"
2012.11.4,2,문재인,안철수,단일화,논의,,,"단일화_논의_촉구,고집,새만금,시사,단일화_방법_양보_시사,방법_고집,단일화_논의,논의,방법,양보_시사,현안,단일화,문재인,단일화_방법,안철수,양보,촉구,단일,유리"
2012.11.4,3,홍준표,새누리,경남,지사,선거,후보,"최태원,행보_본격화,회장,선출,행보,선거준비,日_집권_민주당,경남,중의원_선거준비,제도,직무,사회적_기업_세계화,후보,지사,사회,은행권,세계,세계화,도지사_후보,선거,중의원_선거준비_본격화,도지사,새누리_경남도지사_후보,종합,준비,새누리_경남도지사,새누리,민주당,집권,중의원,본격화,홍준표,기업,보선전,사회적_기업"
2012.11.4,4,금융,개혁,정책,금융위,감독,분리,"금융,감독,개혁,분리,금융위_정책,정책,금융위"
2012.11.4,5,다른,후보,우위,대선,승리,해답,"조절_다른_계열사,대선_승리,투자,침략,식민지,전자,우위,다른_후보,개별,취소,다른_계열사,다른,조절,동참,다른_후보_개별토론,후보,검토,토론,해답,개별토론,박근혜,대선,조절_다른,승리,동참_검토,계열사,속도,투자속,삼성전자,나라"
2012.11.4,6,주택,채권,소비자,증권사,금리,,"채권금리_담합,호주머니,과징금,수익률,대강,담합,금리_담합,증권사들,채권,검찰_고발,국민주택채권,주택,건설사,담합_건설사,보류,증권사_채권금리_담합,고발,결국_소비자,증권사,수익,담합_건설사_제재_보류,국민,검찰,수천,무더기,증권사_채권금리,공정위,서민,소비자,소액채권_금리담합,국민_호주머니,억울,주머니,제재,소액채권_담합,소액,제재_보류,결국,조달청,사실,수익률_담합,소액채권,금리,삼성증권"
2012.11.4,7,문재,중앙선,대위,위원장,안경환,,"안경환_교수,연설문,캠프_중앙선대위_출범식_연설문,캠프_중앙선대위,문재,선임,안경환_교수_선임,안경환,캠프,출범식,중앙선,교수,안철수,위원장,출범식_연설문,대위"
2012.11.4,8,익산,솜리장,안철수,후보,,,"후보,솜리장,안철수,안철수_후보,익산"
2012.11.4,9,캠프,경제,민주,추진,주체,시각차,"캠프,주체,추진_주체,추진,경제,시각차,민주"
2012.11.4,10,원불교,종법사,추대식,문재인,,,"문재인,원불교,법사,종법사_추대식,추대식"
2012.11.5,1,새누리,시당,박근혜,후보,승리,다짐,"원주,다짐대회,건실_설계,박근혜,시당,다짐,대회,승리,새누리_시당,후보,새누리,시공,설계,박근혜_후보,건실"
2012.11.5,2,오바마,롬니,미국,대선,결과,,"외면,스턴스,한국시간,롬니,결과,대회,미국_대선_결과,미국_대선,주목,변수,중국,핵심_변수,핵심,한국,빈곤,당락,대선,오바마,리치_스턴스,미국,영향,시간,당대회_영향,리치,당대회_영향_주목,윤곽"
2012.11.5,3,고려반도체,분기,영업,이익,감소,,"불황,태풍,태풍피해,거래,영업익,만도,목표주가,주식,고려반도체,대책,분기,은행,신뢰도,마쯔다,추락,악화,순익,중국,대금_감소,거래량,미래에셋자산운용_감소폭,이익,수술,미래에셋,최고,주가,바이오스페이스,해외점포,방재,바이오,감소,스페이스,해외점포_순익,주식_거래량,해외,판매량,영업,주요수술,월덱스,상반기,대금,피해,상반기_은행,미래에셋자산운용,도내"
2012.11.5,4,원전,위조,부품,전력,비상,,"품질보증서_위조_납품,적발,당국,영광원전_부품_품질보증서_위조,영광원전_부품,품질,업체,보증서,원전관리,원전_부품업체,영광,부품,전력,가정용_스위치,가정,위조,원전,품질보증서_위조,비상,공급_사실,관리,스위치,전력당국,원전_부품,납품,사실,구멍,공급"
2012.11.5,5,수능,수험,수험생,응원,이벤트,,"응원,각별,이벤트,대학,요령_각별,차량,유의사항,버스,수능,수험생,수능_수험,다하누,음료,건강,지하철,증편,홍삼,다하,증정,휴대,휴대전화,수험표,수험,대폭,수능일_지하철,무료수송,유의,수험생_무료수송,사항,컨디션,홍초,전화,중요,운영,주의,수능일,곰탕,관리,무료,요령,수송,수험생_건강,수능_수험_요령_각별,대폭_증편,대학수능수험생,하나은행"
2012.11.5,6,현대,기아차,연비,과장,주가,,"판매차,현대,영향,과장,북미_판매차_연비_과장,주가,연비_과장,주가영향,연비,기아차,북미,현대기아차,북미_판매차"
2012.11.5,7,내곡동,특검,김윤옥,여사,조사,결정,"소식,마음,불쾌감,청와대_차량돌진,특별,제출,자료제출_거부,김윤옥_여사_조사,청와대_차량,행정관,거부,수사,시형,특별전시회_개막,청와대_차량_돌진,격앙,영부인_조사_발표,차량_돌진,공표,곡동,계획,여사,산양삼_청와대_특별전시회_개막,보훈병원_식사,김윤옥여사_직접조사,진술서,참전군인,말이,특검,버티기,수색,여사_조사,진술,영부인_조사,산양삼,피해,산양삼_청와대,병원식사_마음,발칵,청와대,보훈병원,차량,보훈,조사_조율,개막,군인,내곡동,식사,청와대_돌진,직접조사,조사,고엽제_피해,결정,청와대_수색,고엽제,자료,검거,조사_소식,김윤옥_여사,조율,참전,예의,시형씨,영부인_특검,돌진,남성,김윤옥_여사_조사_조율,시형씨_진술서,고엽제_피해_참전군인,신경전,김윤옥,영부인_특검_조사_소식,영부인,병원,전시회"
2012.11.5,8,재정,정부,경제,정책,,,"장관,지식경제부장관상,판가름,차관,힐러리,文_국가비전위원회_출범,재정,재무장관,박재완_장관,집중,한상욱,합류,만나,절벽,관심,재무차관,회의,정부_정책,출범,성장,관심_집중,재무,재정절벽,장관급,양적,국가,지식,변양균,전윤철_변양균,비전,국무,임인종_한상욱,위원회,정부,대상,경제,전윤철,국무장관,정책,임인종,경계,완화,박재완"
2012.11.5,9,증권사들,경제,증시,전망,코스피,내년,"증시,코스피,증시_긍정적,미_오바마_승리때,증권사들,전망,긍정,오바마,각광,승리,승리때,긍정적,증권,침체속,수익,증권사,최소,경제,내년,금리"
2012.11.5,10,구닥다리,한국,대통령,전용기,총리,창피,"유로존_잔류,착수,한국_대통령_전용기,유로존_잔류_필요성_강조,전략,원자바오,대통령_전용기,원자바오_총리,필요성,총리,지도부,그리스_총리,베컴,축재_의혹,재산내역_조사,그리스,조사,의혹,전용기,잔류,한국_대통령,유로존,한국,라오스,망언,내역,대통령,내사,축재,재산,강조,원자바오_총리_요청,필요성_강조,유로존_잔류_필요성,전략적_가치,구닥다리,가치,창피,요청,내사_착수,구닥다리_한국,구닥다리_한국_대통령_전용기,나라,머리"
